"Month","Year","Letter","Subject","Yes Votes","No Votes","Pass or Fail","Percent","Type Measure","By","Keyword1","Keyword2","Keyword3","Keyword4","Keyword5"
"NOV","1964","A","Log Cabin Ranch Bonds $1,300,000","196,246","76,014","P","0.721","B","S","Rehab school","Log Cabin","Ranch Bonds",,
"NOV","1964","B","School Bonds $31,465,000","210,263","65,663","P","0.762","B","S","New schools","Rehab work","Replacements","Schools",
"NOV","1964","C","Fire Department Bonds $4,890,000","206,385","64,474","P","0.762","B","S","Fire Station","Headquarters","Fire Department.",,
"NOV","1964","D","Recreation and Park Bonds $9,450,000","157,541","111,922","F","0.585","B","S","Golden Gate","Playgrounds","Recreation","Park Bonds",
"NOV","1964","E","Officers & Employees, leaves of absence","121,282","138,204","F","0.467","C","S","Union Post","Employees","Leaves Abs.","Officers",
"NOV","1964","F","Public Works contract procedures","177,188","76,386","P","0.699","C","S","Contracts","Procedures","Public Works",,
"NOV","1964","G","Salaries, Members, Board of Supervisors $9600","147,179","114,209","P","0.563","C","S","Board of Sup","Salaries","Supervisors",,
"NOV","1964","H","Construction of low-rent housing project","148,218","116,764","P","0.559","P","S","Housing","Low income","Elderly","Low rent",
"NOV","1965","A","Medical Center Bonds Total $33,670,000","154,175","44,976","P","0.774","B","S","General Hosp","Medical","Hospital","Equipment",
"NOV","1965","B","War Memorial Bonds Total $29,000,000","62,707","131,235","F","0.323","B","S","Opera House","Veterans Bld","Music Center","War Memorial",
"NOV","1965","C","City Employees Retirement Death Benefits","72,748","120,155","F","0.377","C","S","Retirement","Death Benefit","Pension","Employees",
"NOV","1965","D","Replace Costs Personal Property Stolen","80,297","105,108","F","0.433","C","S","Stolen Prop.","Personal Pro","Property, P.","Employees",
"NOV","1965","E","Muni Railway Platform/Bus Employee Salary","79,507","106,437","F","0.428","C","S","Muni railway","Platform","Salaries","Bus Employee",
"NOV","1965","F","Civil Service Exam Exempt","80,511","102,638","F","0.440","C","S","Temporary P.","Econ Assist","Civil Service","Examination","Exemption"
"NOV","1965","G","Membership Various Commissions","49,347","137,649","F","0.264","C","S","Police Comm.","Fire Comm.","Civil Service","Commissions",
"JUN","1966","A","Retirement Death Benefit","61,151","91,803","F","0.400","C","S","Retirement","Death Benefit","Employees","Benefit",
"NOV","1966","A","Airport General Obligation Bonds $95,500,000","163,657","84,105","F","0.661","B","S","Airport Bond","S.F.O.",,,
"NOV","1966","B","Muni Transit Bonds, Total $96,500,000","143,135","104,251","F","0.579","B","S","Muni Railway","Transit","Transportation",,
"NOV","1966","C","Bureau Fire Prevention & Public Safety","152,893","71,039","P","0.683","C","S","Fire Prevent","Public Safe","Prevention","Bureau Fire",
"NOV","1966","D","City Employees' Vacations","98,273","133,111","F","0.425","C","S","Vacations","Employees",,,
"NOV","1966","E","Longevity Pay, Overtime, Night, Police & Fire","101,193","124,776","F","0.448","C","S","Longevity","Police","Fire","Overtime","Special Pay"
"NOV","1966","F","Retirement System Provisions - Death","134,381","87,169","P","0.607","C","S","Survivor","Restrictions","Death Benefit","Retirement",
"NOV","1966","G","Disciplinary Proceedings & Hearings","102,407","112,246","F","0.477","C","S","Discipline","Employees","Hearings",,
"NOV","1966","H","Terminated Probationary Employees","133,048","82,275","P","0.618","C","S","Employees","Probation","Eligibility","Termination",
"NOV","1966","I","Employees' Leaves of Absence","109,623","104,079","P","0.513","C","S","Employees","Leaves Abs.","Absence",,
"NOV","1966","J","Attorney Appointments City & County Offices","112,457","103,228","P","0.521","C","S","Attorneys","Appointments","City Attn.","DistrictAttn","Public Def"
"NOV","1966","K","Arbitration Board Establish Fire Department","69,774","142,738","F","0.328","C","S","Arbitration","Fire Department.","Grievance",,
"NOV","1966","L","Increase Members Police Commission","82,881","136,009","F","0.379","C","S","Police Comm.","Commission","Members",,
"NOV","1966","M","Increase Members Fire Commission Fire Comm.","83,106","134,996","F","0.381","C","S","Commission","Members",,,
"NOV","1966","N","Increase Members Civil Service Commission","78,617","137,620","F","0.364","C","S","Civil Service","Commission","Members",,
"NOV","1966","O","Utility Budget Repeals Limitation","90,352","115,826","F","0.438","C","S","Utility","Budget","Repeals","Limitation",
"NOV","1966","P","Creating Palace of Fine Arts Commission","90,023","122,542","F","0.424","C","S","Arts","Fine Arts","Commission",,
"NOV","1966","Q","Retirement System Provisions, Police, Fire","80,339","133,922","F","0.375","C","S","Retirement","Fire Department.","Police Dept.",,
"NOV","1967","A","Airport Bonds Total $98,000,000","156,060","71,462","P","0.686","B","S","Airport","S.F.O.",,,
"NOV","1967","B","Board of Supervisors Appoint Analyst","74,327","130,889","F","0.362","C","S","Analyst","Board of Sup","Supervisors",,
"NOV","1967","C","Minimum Age Entrance Police Department","159,490","48,519","P","0.767","C","S","Police Dept.","Entrance","Age","Minimum Age",
"NOV","1967","D","Nominee Board of Education, Qualifications","155,615","46,732","P","0.769","C","S","Education","School Board","Registrar","Qualification",
"NOV","1967","E","Employee Vacations","113,604","94,215","P","0.547","C","S","Years 15","Employees","Vacation",,
"NOV","1967","F","Rates of Compensation Police & Fire","126,177","71,874","P","0.637","C","S","Police Dept.","Fire Department.","Pay","Salaries","Compensation"
"NOV","1967","G","Compensation Municipal Railway Employees","110,758","89,025","P","0.554","C","S","Muni railway.","Compensation","Platform","Bus Operator",
"NOV","1967","H","Veteran Preference Civil Service","140,939","53,749","P","0.724","C","S","Veterans","Civil Service",,"Preference",
"NOV","1967","I","Sheriff Dept. Disability, Retire. Death Benefits","88,705","108,612","F","0.450","C","S","Sheriff","Retirement","Disability","Death Benefit",
"NOV","1967","J","Planning Dept. Duties & Responsibilities","85,483","106,815","F","0.445","C","S","Planning Department","City Plan",,,
"NOV","1967","K","Exempt Appointment Administrator  General Hosp.","98,291","96,244","P","0.505","C","S","General Hosp","Hospital","Public Health","Civil Service",
"NOV","1967","L","Municipal Indebtedness","74,006","120,015","F","0.381","C","S","Finance","Debt","Indebtedness",,
"NOV","1967","M","Advisory Arbitration","90,819","99,772","F","0.477","C","S","Work dispute","Arbitration","Fire Department.","Advisory",
"NOV","1967","N","License Tax Prohibition","85,720","106,753","F","0.445","C","S","Tax License","Business Tax","License Tax",,
"NOV","1967","O","Real Property Tax Limitation, Sales Tax","93,234","98,809","F","0.485","C","S","Taxes","Sales Tax","Bonded Debt","Property Tax",
"NOV","1967","P","Vietnam Cease Fire","79,092","137,933","F","0.364","P","I","Cease Fire","Withdrawal","Vietnam","U.S. Troops",
"JUN","1968","A","Market St. Reconstruction. & Improvement. $24,500,000","152,999","66,198","P","0.698","B","S","Market St.","Streets",,,
"JUN","1968","B","Recreation & Park Bonds $14,885,000","127,391","87,977","F","0.592","B","S","Recreation","Parks",,,
"JUN","1968","C","Cliff House - Sutro Baths  $5,700,000","89,848","124,179","F","0.420","B","S","Sutro Baths","Twelve Acres","Rec & Park","Baths","Point Lobos"
"JUN","1968","D","Sewer & Water Pollution Cont. Bonds $17,500,000","161,589","53,231","P","0.752","B","S","Sewer","Water",,,
"JUN","1968","E","Suspends License Taxes Prohibition","117,020","84,861","P","0.580","C","S","License Tax","Tax License","Jun 30, 1973","Business Lic","Suspend"
"JUN","1968","F","Board of Supervisors in Retirement System","59,464","145,827","F","0.290","C","S","Board of Sup","Supervisors","Retirement","Elected Off.",
"JUN","1968","G","Bond Indebtedness, Not Over $6 Million","87,804","113,087","F","0.437","C","S","Group Debt","Bonds","Debt",,
"JUN","1968","H","Substitute to Official Newspaper","142,123","62,320","P","0.695","C","S","Newspaper","Official Pap","Publishing","Substitute",
"JUN","1968","I","Cost of Living Changes - Retirement","122,158","84,936","P","0.590","C","S","Cost Living","Retirement","Death Allow",,
"JUN","1968","J","City Planning/Mandatory Referrals","131,293","61,831","P","0.680","C","S","City Plan","Planning","Referrals",,
"JUN","1968","K","Disabled Employees in Promotion Exams","139,204","58,046","P","0.706","C","S","Employees","Disabled","Civil Service",,
"JUN","1968","L","Age Requirements Fire Department","145,563","61,166","P","0.704","C","S","Fire Department.","Age",,,
"JUN","1968","M","Increase Filing Fee Candidates","138,754","63,302","P","0.687","C","S","Filing Fees","Fees","Candidates","Sponsors","Nomination"
"JUN","1968","N","Candidates' Declarations Deleted","123,763","74,972","P","0.623","C","S","Candidates","Ballot Pamph","Declarations",,
"JUN","1968","O","Retire Benefits/Fire & Police Dept.","148,287","65,182","P","0.695","C","S","Police","Fire","Retirements","Benefits",
"NOV","1968","A","Bayview/Hunters Point Rec./Park Bonds $6,425,000","176,667","93,096","F","0.655","B","S","Bayview","Hunters Pt.","Park","Recreations",
"NOV","1968","B","S.F. Harbor Assume Bond Indebtedness $60,939,000","195,904","72,429","P","0.730","P","S","Port","Harbor","TransferPort",,
"NOV","1968","C","Control of Harbor & Port From CA to SF","193,510","68,005","P","0.740","C","S","Port","Harbor","TransferPort","Port Comm",
"NOV","1968","D","Bond Issues; Public Improvements; Group","132,291","112,182","F","0.541","C","S","Bond Issues","Group Bonds","Indebtedness",,
"NOV","1968","E","Retirement Board System & Board","129,344","121,734","P","0.515","C","S","Retirement","Actuarial","Investment","Benefits","Social Sec."
"NOV","1968","F","Chief Juvenile Probation","187,944","58,238","P","0.763","C","S","Juvenile","Probation","Appointment","Removal","Sup. Court"
"NOV","1968","G","Retirement; Sheriff's Dept., P.E.R.S.","125,844","118,612","P","0.515","C","S","Sheriff Dept","PERS","Retirement",,
"NOV","1968","H","Housing Auth., 3,000 Dwelling Units","129,263","117,968","P","0.523","P","S","Low Income","Elderly","Housing","Low Rent",
"NOV","1968","I","S.F. School District Tax Increase","133,383","110,862","P","0.546","P","S","Education","Schools","Tax",,
"NOV","1968","J","Hours of Fresh/Meat Poultry Markets","122,026","117,270","P","0.510","O","I","Health Code","Meat Sales","Hours",,
"NOV","1968","K","Real Property Assessment-$1,000 or Less","119,706","113,482","P","0.513","P","I","Taxes","Assessment","Tax Limit",,
"NOV","1969","A","Recreation and Park Bonds $9,998,000","103,997","79,056","F","0.568","B","S","Recreation","Parks",,,
"NOV","1969","B","School Bonds $5,000,000","95,842","87,306","F","0.523","B","S","Hunters Pt.","Redevelopment","Schools","Education",
"NOV","1969","C","Multiple Improvement Bonds $4,930,000","82,816","94,078","F","0.468","B","S","Improvements","Health","Jails",,
"NOV","1969","D","Police, Fire Department Administration","36,014","137,504","F","0.208","C","S","Police","Fire","Hours","Fire","Inspectors"
"NOV","1969","E","New Charter","64,598","108,387","F","0.373","C","S","Legislative","Executive","Charter",,
"NOV","1969","F","Size of Police Force","107,913","64,073","P","0.627","C","S","Police Force",,,,
"NOV","1969","G","Police, Fire Promotional Exams","64,263","105,248","F","0.379","C","S","Promotion","Police","Fire","Examinations",
"NOV","1969","H","Collective Bargaining","45,120","125,385","F","0.265","C","S","Collective B","Compensation","Employees","Bargaining","Labor"
"NOV","1969","I","Port Revenue Bonds","103,387","62,345","P","0.624","C","S","Port Bonds","Revenue Bond","Bonds, Port","Payment",
"NOV","1969","J","Progressive Payments on City Contracts","66,955","95,732","F","0.412","C","S","Progress Pay","Contracts","Payments","Construction",
"NOV","1969","K","Crafts & Trades Pay set August, not July","64,166","97,027","F","0.398","C","S","Employees","Timing","Crafts","Trades","Salaries"
"NOV","1969","L","Health Service, City pay full costs","49,519","119,540","F","0.293","C","S","Health Service","Employees","Benefit",,
"NOV","1969","M","California Academy of Sciences Admission Fee","92,905","75,048","P","0.553","C","S","Academy","Sciences","Admission Fee","Calif Acad.",
"NOV","1969","N","Underwriter's Fire Patrol Retirement Credit","96,282","70,878","P","0.576","C","S","Underwriters","Retirement","Fire Department.",,
"NOV","1969","O","Military Service Retirement Credit","76,484","91,286","F","0.456","C","S","Retirement","Muni Railway","Military Svc","Market St Ry",
"NOV","1969","P","Shall Board of Education be Elective","85,618","84,555","P","0.503","P","I","School Board","Education","Public School",,
"NOV","1969","Q","Board of Education Election by Districts","48,160","122,956","F","0.281","P","I","Districts","School Board","Education","Public School","Board Educ"
"JUN","1970","A","Public School Building Bonds $45,000,000","77,448","96,811","F","0.444","B","S","School","Building","Education","Public School",
"JUN","1970","B","Street Lighting Improvement Bonds $5,000,000","112,893","62,147","F","0.645","B","S","Street Light","Lighting","Crime",,
"JUN","1970","C","Fire protection systems improvement bonds $5,767,000","107,495","65,370","F","0.622","B","S","Fire Prot","Hi pressure","Water System",,
"JUN","1970","D","Creation of Airports Commission","86,513","81,074","P","0.516","C","S","Pub. Utility","Airport Comm.",,,
"JUN","1970","E","Fire Department Pay and Work Time","51,635","111,461","F","0.317","C","S","Fire Department.","Work week","Fire fighter","Salaries",
"JUN","1970","F","Bonded Dept Limit","88,708","75,001","P","0.542","C","S","Sewers","Water pollut","Airport","12% limit","Serv. charges"
"JUN","1970","G","Fix salaries, disabled persons","88,710","74,433","P","0.544","C","S","Employees","Disabled","Salaries",,
"JUN","1970","H","Policy Compulsory School Busing, Elementary School","39,484","132,007","F","0.230","P","S","School Bus","Busing Sch","Neighborhood","School Board","Education"
"JUN","1970","I","Police Department Pay & Fringes & Parity","42,847","137,355","F","0.238","C","S","Police Pay","Salaries","Parity",,
"NOV","1970","A","Water Pollution Control Bonds $65,000,000","177,122","47,624","P","0.788","B","S","Water Pollution","Pollution","Sewage","Clean Water",
"NOV","1970","B","School Bonds $5,498,000","142,000","81,339","F","0.636","B","S","School Bonds","Hunters Pt.","Redevelopment","Education",
"NOV","1970","C","Military Service Retirement Credit Market St. railway","120,724","91,168","P","0.570","C","S","Retirement","Market St Ry","Muni Railway","Military Svc",
"NOV","1970","D","Military Service Retirement Credit - Eligibles","101,326","109,885","F","0.480","C","S","Military Svc","Eligibles","Civil Service","Retirement",
"NOV","1970","E","Increase max rate interest on General Obligation bonds","126,333","77,032","P","0.621","C","S","Interest Rate","General Oblg","Bond Interest",,
"NOV","1970","F","Increase Police Funds, Pay exonerated officer","122,674","85,237","P","0.590","C","S","Contingent $","Narcotic","Police Dept.","Exoneration",
"NOV","1970","G","Working benefits, Police & Fire Departments.","102,784","106,130","F","0.492","C","S","Compensation","Work benefits","Police Dept.","Fire Department.",
"NOV","1970","H","School & College Board Elections","64,954","139,141","F","0.318","C","S","School Board","Jr. College","Board Elect","Education","Districts"
"NOV","1970","I","Candlestick Park Name - Lefty O'Doul","60,829","148,554","F","0.291","P","M","Lefty O'Doul","Candlestick","O'Doul,Lefty",,
"NOV","1970","J","Vietnam War Cease Fire","107,928","102,863","P","0.512","P","I","Peace","Vietnam","Cease Fire","War protests",
"NOV","1971","A","Public School Building Bonds $56,180,000","107,909","122,184","F","0.469","B","S","School Bonds","Education","Field Act",,
"NOV","1971","B","Harbor Improvement Bonds $34,000,000","160,821","67,179","P","0.705","B","S","Port Bonds","Harbor Bonds","Pier 94",,
"NOV","1971","C","Hall of Justice Improvement Bonds $3,850,000","113,650","110,921","F","0.506","B","S","Hall Justice","Muni Court","Sup. Court","Courtrooms","Holding cells"
"NOV","1971","D","Fire Protection Bonds $8,491,000","154,031","70,934","P","0.685","B","S","Water System","Fire Protect",,,
"NOV","1971","E","Police Department Organization","108,352","105,935","P","0.506","C","S","Police Department","Civil Service","Inspectors","Examinations",
"NOV","1971","F","Budget Analyst Appointment","91,542","120,345","F","0.432","C","S","Budget Analysis","Board of Sup","Supervisors","Analyst",
"NOV","1971","G","Disabled Transferee Promotional Exams","152,597","60,114","P","0.717","C","S","Civil Service","Disabled Trs","Employees",,
"NOV","1971","H","Ballot Arguments by Mayor, or more Supervisors","112,502","96,177","P","0.539","C","S","Ballot Argument","Elections","Mayor","Supervisors",
"NOV","1971","I","School Department Four year contracts","115,848","94,319","P","0.551","C","S","School Dept.","Four Year","Contracts","Admin,School",
"NOV","1971","J","Police & Fire Benefits set by Board of Supervisors","88,028","131,041","F","0.402","C","S","Police Dept","Fire Department.","Work benefits","Premium Pay","Benefits"
"NOV","1971","K","Ballot Pamphlets, Initiative requirements","59,432","147,877","F","0.287","C","S","Petitions","Initiative","Elections","Ballot Pamph","Voters"
"NOV","1971","L","Community College District Board","119,809","86,742","P","0.580","C","S","Community Co","College","Jr. College","Education",
"NOV","1971","M","Amending Zoning Ordinance Procedure","111,930","84,298","P","0.570","C","S","Zoning Ord.","Amend Zoning","Reclass prop","Setback line",
"NOV","1971","N","Miscellaneous Employees Retirement Benefits","88,794","120,313","F","0.425","C","S","Military","Pension","Retirement","Benefit","Employees"
"NOV","1971","O","Publication of Legislation & meetings","100,185","100,097","P","0.500","C","S","Amend Add","Publication","Notices","Legislation","Meetings"
"NOV","1971","P","Widows, Firefighter, non-worker related death","134,076","81,111","P","0.623","C","S","Fire Department.","Widows","Death",,
"NOV","1971","Q","Cable Cars minimum schedule maximum fares","121,046","91,784","P","0.569","C","S","Cable Cars","Codification","Recodify",,
"NOV","1971","R","Recodification of City Charter","128,782","67,503","P","0.656","P","S","Charter","Codification","Recodify",,
"NOV","1971","S","Elect School Board., at large","120,851","91,820","P","0.568","C","S","School Board","Election","At Large",,
"NOV","1971","T","High-Rise Limit on Buildings, 6 stories","86,799","142,575","F","0.378","O","I","Height Limit","High-rise","Six Stories","Building Ht.","Height 72'"
"JUN","1972","A","Construction of Southern Crossing Bridge","57,119","140,455","F","0.289",,,,,,,
"JUN","1972","B","Street & Parkway Lighting Bonds $6,050,000","143,007","57,057","P","0.715","B","S","Street Light","Lighting","Crime",,
"JUN","1972","C","Retirement allowances, miscellaneous employees","124,915","67,602","P","0.649","C","S","Retirement","Employee","Benefit",,
"JUN","1972","D","Fireman, entrance, probation one year","128,971","60,353","P","0.681","C","S","Fire Department.","Probation",,,
"JUN","1972","E","Budget Analyst Appointment by Board","128,460","58,655","P","0.687","C","S","Budget Anal.","Analyst","Appointment",,
"JUN","1972","F","Supervisor on Retirement & Health Service Boards","84,231","99,061","F","0.460","C","S","Retirement","Health Svc","Supervisors","Boards, Supv",
"JUN","1972","G","Proceeds, sale of City property, flexible","91,219","92,999","F","0.495","C","S","City Proper","Property","Proceed Sale","Sale Prog.",
"JUN","1972","H","Police & Fire Department, Death allowances","136,407","54,697","P","0.714","C","S","Police Dept.","Fire Department.","Death Allow","Retirement",
"JUN","1972","I","Equal compensation, Police Sergeant & Fire Lt","98,735","86,651","P","0.533","C","S","Police Sgt.","Fire Lt","Sergeant","Lieutenant","Parity"
"JUN","1972","J","Retirement Benefits, Police & Fire Department.","90,078","93,285","F","0.491","C","S","Retirement","Survivors","Police Dept.","Fire Department.",
"JUN","1972","K","Payroll verification by Electronic Data Processing","127,314","49,316","P","0.721","C","S","EDP","Pay Verity","Verify Pay",,
"JUN","1972","L","Health Service Costs Paid to Employer","65,981","113,961","F","0.367","C","S","Health Svc.","Employees","Benefits","Medicare","Eff. date"
"JUN","1972","M","State teachers Retirement System implement","113,061","62,051","P","0.646","C","S","Teachers","Retirement","School",,
"JUN","1972","N","Increase School Taxes Rate","52,874","129,990","F","0.289","T","S","School Taxes","Tax, School",,,
"JUN","1972","O","Close Park & Potrero Police stations","62,756","115,106","F","0.353","P","S","Park Sta.","Potrero Sta.","Police Sta.","Close Sta.",
"JUN","1972","P","Maximum building height, downtown & res areas","81,027","106,841","F","0.431","O","S","Building Ht.","Height Limit","Limit Height",,
"NOV","1972","1","Full Time Board of Supervisors","80,362","154,474","F","0.342","P","s","Board of Sup","Supervisors","Full Time",,
"NOV","1972","A","Water Supply System Improvements Imp $39,000,000","181,955","82,624","P","0.688","B","S","Water Supply",,,,
"NOV","1972","B","Sewer System Improvement Bonds $25,000,000","193,766","70,634","P","0.733","B","S","Sewer System",,,,
"NOV","1972","C","City Planning Commission, No Ex-Officio Members","94,143","156,904","F","0.375","C","S","Planning Com","City Plan","Ex-Officio","Commission",
"NOV","1972","D","Superintendent of Schools Employment","148,463","98,138","P","0.602","C","S","Supt.","School Supt.","Comm. College","Education",
"NOV","1972","E","Meetings Open to Public","212,784","39,738","P","0.843","C","S","Open Meeting","Meetings",,,
"NOV","1972","F","No Gross Receipts Tax if Payroll Expense Tax","153,196","86,618","P","0.639","C","S","Tax","Gross Repots","Payroll Tax",,
"NOV","1972","G","Uniform Members, Sheriff Dept, probation 1 year","212,452","40,053","P","0.841","C","S","Probation","Sheriff Dept",,,
"NOV","1972","H","Extends time, election process","194,361","51,473","P","0.791","C","S","Nomination","Arguments","Elections","Spec electns","Initiatives"
"NOV","1972","I","Increase Police Narcotics Fund $200,000","125,290","127,250","F","0.496","C","S","Narcotics","Police Dept",,,
"NOV","1972","J","Combine Palace Legion Honor & de Young Museum","179,358","70,974","P","0.716","C","S","Museums SF","De Young","Art Museums",,
"NOV","1972","K","District Police Stations","133,691","123,877","P","0.519","C","S","District Station","Police Statn","Stations PD",,
"NOV","1972","L","Primary Elections, Appoint Treasurer Extend Attn.","105,521","137,528","F","0.434","C","S","Treasurer","Primary Elec","City Attn.","Elections","Officers"
"NOV","1972","M","Military service credit to retirement","184,753","67,810","P","0.732","C","S","Military Service","Employees","Retirement",,
"NOV","1972","N","Police & Fire Retirement benefits","165,635","83,254","P","0.665","C","S","Police Department","Fire Department","Retirement",,
"NOV","1972","O","Health service costs","145,197","101,601","P","0.588","C","S","Health Service","Compensation","Benefits","Employees",
"NOV","1972","P","Minimum wages printing contracts, local pref.","83,425","160,127","F","0.343","C","S","Printing","Contracts","Prevailing $","Local Bidder",
"NOV","1972","Q","Five member Police, Fire, Civil Service Commissions","114,114","132,461","F","0.463","C","S","Commissions","Police Comm.","Fire Comm.","Civil Service",
"NOV","1972","R","Police Retirement Benefit Increase to $350","92,599","157,567","F","0.370","C","S","Police Department","Retirement.","Benefits",,
"NOV","1973","A","Improvement Bonds Public School Buildings","121,468","64,972","F","0.652","B","S","Public School","Schools","Field Act",,
"NOV","1973","B","Children's Centers Improvement. Bonds-earthquake safety","117,914","66,595","F","0.639","B","S","Children Center","Field Act","Couters","School",
